email,label
 mike bostock said received from trackingNUMBER URL NUMBER NUMBER NUMBER NUMBER by URL postfix with esmtp id NUMBERedNUMBER for mike mydomain co uk sun NUMBER sep NUMBER NUMBER NUMBER NUMBER NUMBER edt x mailer roving constant contact NUMBER NUMBER patchNUMBERc pNUMBERc_schedenhancement_NUMBER_NUMBER_NUMBER http www constantcontact com is worthy of attention and a rule if you go to their web site it would appear that they are in the business of email mass marketing unfortunately their mailing to me got through spamassassin interesting i haven t seen anything from these guys in about a year but looking at your hdr they re still doing it ok come up with an x mailer rule that hits your mails and we ll put it in testing j this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
 no i was just a little confused because i m running procmail on a gateway and sits between the external sendmail box and internal exchange bridgehead server so there isn t any delivery to the local system the only email it gets is inbound at the moment and we re looking to get rid of complication and go back to two boxes i did a test which looked like you guys are right about procmail but testing is very limited due to the config i currently have it s just confusing when set up as a gateway jason original message from stephane lentz mailto stephane lentz ansf alcatel fr sent monday september NUMBER NUMBER NUMBER NUMBER pm to spamassassin talk URL subject re satalk separate inbound and outbound on mon sep NUMBER NUMBER at NUMBER NUMBER NUMBERpm NUMBER jason qualkenbush wrote is there is way to separate inbound and outbound email so that i only check for spam on inbound mail and ignore the outbound i m using sendmail and running procmail on the gateway to call spamassassin i know it more of a sendmail question but my google searches have only turned up people trying to log all inbound and outbound email using procmail spamassassin doesn t get called for outgoing email messages sent to other machines procmail local delivery agent inbound traffic to local machine sl stephane lentz alcanet international internet services this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
this is just an semi educated guess if i m wrong someone please correct me spamd setuid s to the user running spamc since you re calling spamc from a global procmailrc file it s being run as root most likely if called as root spamd won t open user_prefs files from the spamc man page u username this argument has been semi obsoleted to have spamd use per user config files run spamc as the user whose config files spamd should load if you re running spamc as some other user though eg root mail nobody cyrus etc then you can still use this flag the solution is to set dropprivs yes in etc procmailrc just before running spamc from the procmailrc man page dropprivs if set to yes procmail will drop all privileges it might have had suid or sgid this is only useful if you want to guarantee that the bottom half of the etc procmailrc file is executed on behalf of the recipient i hope that helps and i also hope it s right st original message from spamassassin talk admin URL mailto spamassassin talk admin URL on behalf of cheryl l southard sent tuesday september NUMBER NUMBER NUMBER NUMBER pm to spamassassin talk URL subject satalk user_prefs ignored hi all i am running spamassassin NUMBER NUMBER with procmail as my local delivery agent with sendmail i use spamc spamd so that it runs site wide from etc procmailrc spamd is run as root with the flags d a c and spamc isn t run with any flags when i was testing the program i deployed spamc from my personal procmailrc file my spamassassin user_prefs file was read each time i can see this because i have a non default required_hits value which gets reported in every e mail on the x spam status line now that i run spamc from the global etc procmailrc file my spamassassin user_prefs file is no longer being read or processed from e mails from outside computers the required_hits value gets set back to the one in etc mail spamassassin local cf however if i send local e mail my user_prefs file is read and processed correctly does anyone know how to fix this problem if this is a spamassassin or procmail bug thanks cheryl cheryl southard cld URL this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
jm URL justin mason writes except for NUMBER thing defanged mime messages that s a big problem but if you didn t just remove the headers and instead reverted back to the x spam prev versions it d more or less work btw fixed the downloads page check now un defangs mime it was screwing up some of my mass check results where sa markup was present yes if there ever was a warning about sa markup in mass check it never worked for me dan ,0
i just picked up razor sdk NUMBER NUMBER and NUMBER NUMBER agents from the the razor site i am using suse NUMBER NUMBER intalled sdk with no problems all tests passed when i try to make the NUMBER NUMBER agents i get all kinds of errors in particuliar it says the net dns is missing but it seems to be there the sdk test passes it any help would be appreciated doug this URL email is sponsored by thinkgeek welcome to geek heaven URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
on sep NUMBER NUMBER NUMBERpm daniel quinlan wrote allen smith easmith beatrice rutgers edu writes well i have been doing a bit of fiddling with the ga i don t have a _large_ corpus practically available to me or processable within reasonable processor time i can justify the ga fiddling part as being part of my research but not the mail processing so in order to test out my changes someone needs to send me a copy of the tmp scores h and tmp tests h that get generated prior to the ga going into action why not start with mass check corpus results it s much easier to get those ah as in getting a directory listing of the corpus server and doing some downloads ok done and you can create your own tmp scores h and tmp tests h good point will report back on my results allen allen smith URL september NUMBER NUMBER a day that shall live in infamy ii they that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety benjamin franklin ,0
unable to find user matt_relay sbcglobal net please make sure the address is correct and resend your mail ,0
 spamtalk said probably better than the spam phrases approach would be the database approach as currently used for white black listing any way to tie that to an xml retrieval from a list of central repositories does mysql do replication a properly done xml would let us eyeball the list as well as use it to keep the database up to date another idea could we synthesize an rbl so that URL becomes URL for a reverse lookup it is going to get tricky how to specify a randomized intermediate directory a good plan needs an implementation though URL hmm seems down to me basically it s a plan to store hash sums of urls phone numbers found in spam in a dnsbl for apps like spamassassin to look up a little like spamcop s spamvertized url list j this URL email is sponsored by dedicated servers only NUMBER linux or freebsd free setup fast network get your own server today at URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ,0
on sun sep NUMBER NUMBER at NUMBER NUMBER NUMBERpm NUMBER justin mason wrote i seem to be getting a lot of spam relayed via these guys recently can others confirm this if it s the case i ll come up with a forged hostname test for it i do get some from them typically some URL host grep c URL sort rn spammers NUMBER NUMBER NUMBER spammers NUMBER NUMBER NUMBER spammers NUMBER NUMBER NUMBER spammers NUMBER NUMBER NUMBER spammers NUMBER NUMBER NUMBER spammers NUMBER NUMBER NUMBER definitely increasing per month percentage wise NUMBER NUMBER has NUMBER spams in it so NUMBER NUMBER is about NUMBER NUMBER last month was NUMBER NUMBER randomly generated tagline i don t believe i ve ever cuddled my elses larry wall in NUMBER iaaNUMBER wall org ,0
jm URL justin mason writes yes NUMBER of the entire set for training and NUMBER for evaluation once you ve settled on the final method for any one release why not use NUMBER of the data for a final run dan ,0
